k, value
20,0.059655
21,0.0843649
22,0.103325
23,0.11931
24,0.133393
25,0.146124
26,0.157832
27,0.16873
28,0.178965
29,0.188646
30,0.197853
31,0.206651
32,0.215089
33,0.223209
34,0.231043
35,0.23862
36,0.245964
37,0.253095
38,0.26003
39,0.266785
40,0.273374
41,0.279807
42,0.286095
43,0.292249
44,0.298275
45,0.304182
46,0.309976
47,0.315665
48,0.321252
49,0.326744
50,0.332145
51,0.33746
52,0.342692
53,0.347845
54,0.352924
55,0.35793
56,0.362867
57,0.367738
58,0.372545
59,0.377291
60,0.381978
61,0.386609
62,0.391184
63,0.395706
64,0.400178
65,0.4046
66,0.408974
67,0.413302
68,0.417585
69,0.421825
70,0.426022
71,0.430178
72,0.434295
73,0.438373
74,0.442413
75,0.446417
76,0.450385
77,0.454319
78,0.458219
79,0.462086
80,0.46592
81,0.469724
82,0.473497
83,0.47724
84,0.480954
85,0.484639
86,0.488297
87,0.491928
88,0.495532
89,0.49911
90,0.502662
91,0.506189
92,0.509693
93,0.513172
94,0.516627
95,0.52006
96,0.52347
97,0.526859
98,0.530225
99,0.533571
100,0.536895
101,0.540199
102,0.543483
103,0.546747
104,0.549992
105,0.553218
106,0.556425
107,0.559613
108,0.562784
109,0.565937
110,0.569072
111,0.572191
112,0.575292
113,0.578377
114,0.581445
115,0.584497
116,0.587534
117,0.590554
118,0.59356
119,0.59655
120,0.599525
121,0.602486
122,0.605432
123,0.608364
124,0.611282
125,0.614186
126,0.617076
127,0.619953
128,0.622816
129,0.625667
130,0.628504
131,0.631329
132,0.634141
133,0.636941
134,0.639729
135,0.642504
136,0.645267
137,0.648019
138,0.650759
139,0.653488
140,0.656205
141,0.658911
142,0.661606
143,0.66429
144,0.666963
145,0.669626
146,0.672278
147,0.674919
148,0.677551
149,0.680172
150,0.682783
151,0.685384
152,0.687975
153,0.690557
154,0.693128
155,0.695691
156,0.698244
157,0.700788
158,0.703322
159,0.705847
160,0.708364
161,0.710871
162,0.71337
163,0.71586
164,0.718341
165,0.720814
166,0.723278
167,0.725734
168,0.728182
169,0.730622
170,0.733053
171,0.735476
172,0.737892
173,0.740299
174,0.742699
175,0.745091
176,0.747475
177,0.749852
178,0.752221
179,0.754583
180,0.756937
181,0.759284
182,0.761624
183,0.763957
184,0.766282
185,0.768601
186,0.770912
187,0.773217
188,0.775515
189,0.777806
190,0.78009
191,0.782368
192,0.784639
193,0.786903
194,0.789161
195,0.791413
196,0.793658
197,0.795897
198,0.798129
199,0.800356
200,0.802576
201,0.80479
202,0.806998
203,0.8092
204,0.811396
205,0.813586
206,0.81577
207,0.817948
208,0.820121
209,0.822287
210,0.824448
211,0.826604
212,0.828754
213,0.830898
214,0.833037
215,0.83517
216,0.837298
217,0.83942
218,0.841537
219,0.843649
220,0.845756
221,0.847857
222,0.849953
223,0.852044
224,0.85413
225,0.85621
226,0.858286
227,0.860357
228,0.862422
229,0.864483
230,0.866539
231,0.86859
232,0.870636
233,0.872677
234,0.874714
235,0.876746
236,0.878773
237,0.880795
238,0.882813
239,0.884827
240,0.886835
241,0.888839
242,0.890839
243,0.892834
244,0.894825
245,0.896811
246,0.898793
247,0.900771
248,0.902744
249,0.904713
250,0.906677
251,0.908638
252,0.910594
253,0.912546
254,0.914494
255,0.916437
256,0.918377
257,0.920312
258,0.922244
259,0.924171
260,0.926095
261,0.928014
262,0.929929
263,0.931841
264,0.933748
265,0.935652
266,0.937552
267,0.939448
268,0.94134
269,0.943228
270,0.945113
271,0.946994
272,0.948871
273,0.950744
274,0.952614
275,0.95448
276,0.956342
277,0.958201
278,0.960056
279,0.961908
280,0.963756
281,0.965601
282,0.967442
283,0.969279
284,0.971113
285,0.972944
286,0.974771
287,0.976594
288,0.978415
289,0.980232
290,0.982045
291,0.983855
292,0.985662
293,0.987466
294,0.989266
295,0.991063
296,0.992857
297,0.994648
298,0.996435
299,0.998219
300,1
