k, value
20,0.211618
20,0.204608
20,0.202789
20,0.209355
20,0.206817
20,0.202274
20,0.2161
20,0.209266
20,0.199459
20,0.197864
21,0.224011
21,0.229153
21,0.225841
21,0.217584
21,0.228047
21,0.22418
21,0.219243
21,0.227684
21,0.226349
21,0.235857
22,0.245956
22,0.241473
22,0.250077
22,0.244822
22,0.243354
22,0.246139
22,0.24892
22,0.236324
22,0.241184
22,0.247062
23,0.256263
23,0.251357
23,0.253535
23,0.251581
23,0.246686
23,0.263172
23,0.245378
23,0.263377
23,0.252562
23,0.252971
24,0.266532
24,0.283816
24,0.266013
24,0.273401
24,0.26965
24,0.276039
24,0.261889
24,0.270016
24,0.277301
24,0.270274
25,0.278337
25,0.285246
25,0.269713
25,0.277989
25,0.281134
25,0.272866
25,0.287188
25,0.277919
25,0.281931
25,0.274377
26,0.295539
26,0.2945
26,0.299138
26,0.298703
26,0.293344
26,0.289796
26,0.296045
26,0.283284
26,0.288709
26,0.28554
27,0.304069
27,0.30098
27,0.302462
27,0.296931
27,0.30057
27,0.296703
27,0.292981
27,0.295229
27,0.293386
27,0.30201
28,0.309554
28,0.311546
28,0.307111
28,0.303702
28,0.308196
28,0.311254
28,0.309944
28,0.308993
28,0.318155
28,0.310975
29,0.310312
29,0.317028
29,0.319769
29,0.317626
29,0.310661
29,0.315792
29,0.323782
29,0.319952
29,0.316636
29,0.310426
30,0.33528
30,0.333458
30,0.332808
30,0.323729
30,0.321364
30,0.318343
30,0.327571
30,0.327061
30,0.326349
30,0.328423
31,0.335662
31,0.348375
31,0.332696
31,0.335047
31,0.33679
31,0.331214
31,0.340381
31,0.339727
31,0.346161
31,0.340637
32,0.347451
32,0.342417
32,0.342786
32,0.341172
32,0.337793
32,0.344387
32,0.341201
32,0.334391
32,0.348174
32,0.346564
33,0.352132
33,0.355505
33,0.350781
33,0.35028
33,0.358164
33,0.344717
33,0.344322
33,0.350948
33,0.357819
33,0.339907
34,0.360223
34,0.361069
34,0.355125
34,0.361614
